case_count,caseType (These have been narrowed down from the greater case type list. Only these are in Redivis),"Type (E = Evictions, D = Debt, PE = Possible Evictions (ie evictions + other things), PD = Possible Debt (ie debt + other things))",Notes,,,
3,CNDB,D,Contract - Debt,,,"'CNDB',"
2,Administrative Appeal,X,,,,
17,Adverse Possession,X,,,,
1707,Agency/IV-D,X,,,,
7,Alimony / Spousal Support,X,,,,
46,Annulment,X,,,,
9,APA,X,Administrative Agency Appeal,,,
13,APCR,X,Criminal Appeal,,,
1,APDM,X,Appeal - District Court Motion,,,
4,APMV,X,Motor Vehicle Appeal,,,
2,APOC,X,Orphans Court Appeal,,,
239,Contract - Debt,D,,,,"'Contract - Debt',"
812,Appeal - Administrative Agency,X,,,,
506,Appeal - Administrative Agency - WCC,X,,,,
806,Breach of Lease,E,,,,"'Breach of Lease',"
549,BREACH OF LEASE,E,,,,"'BREACH OF LEASE',"
136,Appeal - Domestic Violence,X,,,,
272,BROL,E,Breach of Lease,,,"'BROL',"
36,Appeal - Orphans Court,X,,,,
35,Appeal - Peace Order,X,,,,
182,Complaint For Ejectment,E,,,,"'Complaint For Ejectment',"
29,Appeal - Workers' Compensation,X,,,,
16,Arbitration,X,,,,
52,Asbestos-Beth Steel CT-2,X,,,,
20,Asbestos-Cluster File,X,,,,
277,Asbestos - Other CT-4,X,,,,
3,Asbestos-Railroad CT-3,X,,,,
11,Asbestos-Shipyard CT-5,X,,,,
106,Asbestos - Trade CT-1,X,,,,
6,Attorney Grievance,X,,,,
6,ATTY GRIEVANCE COMM,X,,,,
25,Authorization for Specific Transaction,X,,,,
38,BONF,X,Bond Forfeiture,,,
1,DISTRESS/DISTRAINT,E,,,,"'DISTRESS/DISTRAINT',"
4,Distress / Distraint for Rent,E,,,,"'Distress / Distraint for Rent',"
9,Ejectment,E,,,,"'Ejectment',"
99,CCL,X,County/City Lien,,,
32,CFJ,X,Confessed Judgement,,,
7,CFSN,X,,,,
88,Change of Name,X,,,,
1,Change of Name - Adult,X,,,,
97,Change of Name - Minor,X,,,,
271,Child Abuse DV,X,,,,
244,CHILD ABUSE DV,X,,,,
1,Child in Need of Assistance - Shelter,X,,,,
1016,Child Support,X,,,,
3624,Child Support - Agency,X,,,,
98,Child Support - Private,X,,,,
42,CHSA,X,Child Support - Agency,,,
1,CHSP,X,Child Support - Private,,,
3323,Citation - Civil,X,,,,
9487,Citation - Criminal,X,,,,
4948,Citation - DNR,X,,,,
1213,Citation - Mass Transit,X,,,,
2346,Citation - Municipal Infraction,X,,,,
636770,Citation - Traffic,X,,,,
105178,Failure to Pay Rent,E,,,,"'Failure to Pay Rent',"
9,Civil Citation,X,,,,
535,Civil Non-Support,X,,,,
2,Civil Paternity/Legitimation,X,,,,
15,Civil Rights,X,,,,
